id_usuario,nombre_usuario,correo_electronico,contrasena
100,"Juan Perez",juan.perez@gmail.com,1000
101,"Elena Sanchez",elena.sanchez@hotmail.com,1001
102,"Mario Quispe",mario.quispe@yahoo.es,1002
103,"Cristhina Cristalina",cristhina.cristalina@gmail.com,1003
104,"Carmen Anaya",carmen.anaya@gmail.com,1004
105,"Pedro Alto",pedro.alto@gmail.com,1005
106,"Henry Saavedra",henry.saavedra@gmail.com,1006
107,"Peter Gonzales",peter.gonzales@gmail.com,1007
108,"Leonardo Condor",leonardo.condor@gmail.com,1008
109,"Ximena Dias",ximena.dias@gmail.com,1009
